city_id,field_or_dataset,source_name,source_url,download_date,license,notes
in_chd,population,Census of India 2011,https://www.census2011.co.in/census/district/117-chandigarh.html,2026-09-19,Public census data; secondary compilation site,Primary chandigarhdistrict.nic.in blocks automated fetch (robots.txt); figure cross-verified against Wikipedia infobox and Tribune/SSA Chandigarh citations
in_chd,area_elevation,Chandigarh Wikipedia infobox,https://en.wikipedia.org/wiki/Chandigarh,2026-09-19,CC BY-SA; infobox sourced from Survey of India / UT Administration figures,Elevation also cross-checked against Politics_of_Chandigarh Wikipedia page (350m variant reported there; 321m used as more commonly cited figure)
in_chd,land_use,Chandigarh Master Plan 2031,https://chandigarh.gov.in/sites/default/files/documents/index.pdf,2026-09-19,Government of Chandigarh official document,PRIMARY SOURCE LOCATED but blocks automated fetch (robots.txt); content accessed only via search-engine snippets and secondary citations (Tribune
in_mum,population,Census of India 2011,https://mumbaicity.gov.in/en/about-district/demography/,2026-09-19,Government of India official district site,mumbaicity.gov.in IS a working .gov.in source for Mumbai City district; Mumbai Suburban district figure from Wikipedia (Census-sourced) summed to get Greater Mumbai total
in_mum,area_elevation,Mumbai Wikipedia infobox,https://en.wikipedia.org/wiki/Mumbai,2026-09-19,CC BY-SA,BMC official figure; not independently re-verified against a primary BMC page in this session
in_blr,population,Census of India 2011,https://en.wikipedia.org/wiki/Bengaluru,2026-09-19,CC BY-SA infobox; Census-sourced,BBMP city-limit figure; also cross-checked against Bengaluru Urban district figure (9
in_blr,area_elevation,Bengaluru Wikipedia infobox,https://en.wikipedia.org/wiki/Bengaluru,2026-09-19,CC BY-SA,BBMP official website bbmp.gov.in listed as source in infobox; not independently re-fetched in this session
in_del,population,Census of India 2011,https://en.wikipedia.org/wiki/Delhi,2026-09-19,CC BY-SA infobox; Census-sourced,"NCT of Delhi total (megacity + UT figure); distinct from Delhi ""urban"" and ""megacity"" sub-figures also reported on the same page"
in_del,area_elevation,Delhi Wikipedia infobox,https://en.wikipedia.org/wiki/Delhi,2026-09-19,CC BY-SA,Elevation reported as a range (200-250m); midpoint used in master CSV - re-derive from DEM for grid-level accuracy
in_ncr,population_area,National Capital Region Wikipedia + NCRPB Regional Plan,https://en.wikipedia.org/wiki/National_Capital_Region_(India),2026-09-19,CC BY-SA; NCRPB is Government of India statutory body (ncrpb.nic.in),Area/population figures vary slightly by source revision (55
